"Package","Repository"
"janitor","CRAN"
"shinyWidgets","CRAN"
"rclipboard","CRAN"
"rpivotTable","CRAN"
"htmlwidgets","CRAN"
"shinydashboard","CRAN"
"magrittr","CRAN"
"lubridate","CRAN"
"forcats","CRAN"
"stringr","CRAN"
"dplyr","CRAN"
"purrr","CRAN"
"readr","CRAN"
"tidyr","CRAN"
"tibble","CRAN"
"ggplot2","CRAN"
"tidyverse","CRAN"
"shiny","CRAN"
"tidyselect","CRAN"
"bslib","CRAN"
"snakecase","CRAN"
"colorspace","CRAN"
"vctrs","CRAN"
"generics","CRAN"
"htmltools","CRAN"
"utf8","CRAN"
"rlang","CRAN"
"jquerylib","CRAN"
"later","CRAN"
"pillar","CRAN"
"glue","CRAN"
"withr","CRAN"
"bit64","CRAN"
"lifecycle","CRAN"
"anytime","CRAN"
"munsell","CRAN"
"gtable","CRAN"
"fontawesome","CRAN"
"memoise","CRAN"
"tzdb","CRAN"
"fastmap","CRAN"
"httpuv","CRAN"
"parallel",NA
"fansi","CRAN"
"Rcpp","CRAN"
"xtable","CRAN"
"promises","CRAN"
"scales","CRAN"
"cachem","CRAN"
"jsonlite","CRAN"
"vroom","CRAN"
"mime","CRAN"
"bit","CRAN"
"hms","CRAN"
"digest","CRAN"
"stringi","CRAN"
"grid",NA
"cli","CRAN"
"tools",NA
"sass","CRAN"
"crayon","CRAN"
"pkgconfig","CRAN"
"ellipsis","CRAN"
"timechange","CRAN"
"rstudioapi","CRAN"
"R6","CRAN"
"compiler",NA
